Datetime,Temperature,Status
2020-11-10 19:12:23.472132,0.96500,Regen
2020-11-10 19:27:23.480079,2.45700,Regen
2020-11-10 19:42:23.471015,3.15900,Regen
2020-11-10 19:57:23.481966,3.39500,Regen
2020-11-10 20:12:23.468899,3.21500,Regen
2020-11-10 20:27:23.477847,3.47200,Regen
2020-11-10 20:42:23.489798,3.69500,Regen
2020-11-10 20:57:23.476731,3.88100,Regen
2020-11-10 21:12:23.491684,4.02600,Regen
2020-11-10 21:27:23.475615,4.14400,Regen
2020-11-10 21:42:23.887851,4.24700,Regen
2020-11-10 21:57:23.729680,4.34400,Regen
2020-11-10 22:12:23.764648,4.42700,Regen
2020-11-10 22:27:23.813624,4.50700,Regen
2020-11-10 22:42:23.485333,4.57700,Regen
2020-11-10 22:57:23.494282,4.63600,Regen
2020-11-10 23:12:23.484217,4.59600,Regen
2020-11-10 23:27:23.491164,4.59600,Regen
2020-11-10 23:42:23.484101,4.59600,Regen
2020-11-10 23:57:23.491049,4.46400,Regen
2020-11-11 00:12:23.497996,4.33300,Regen
2020-11-11 00:27:23.494936,4.20900,Regen
2020-11-11 00:42:23.501883,4.10200,Regen
2020-11-11 00:57:23.491818,4.00600,Regen
2020-11-11 01:12:23.498765,3.91400,Regen
2020-11-11 01:27:23.490702,3.83500,Regen
2020-11-11 01:42:23.498650,3.75900,Regen
2020-11-11 01:57:23.490587,3.69500,Regen
2020-11-11 02:12:23.497534,3.64900,Regen
2020-11-11 02:27:23.487469,3.60800,Regen
2020-11-11 02:42:23.498420,3.57600,Regen
2020-11-11 02:57:23.488354,3.54800,Regen
2020-11-11 03:12:23.496302,3.53300,Regen
2020-11-13 11:59:54.206490,0.79200,Ready
2020-11-13 12:12:23.038112,0.79200,Ready
2020-11-13 12:27:23.069077,0.79300,Ready
2020-11-13 12:42:22.948934,0.79200,Ready
2020-11-13 12:57:22.969890,0.79300,Ready
2020-11-13 13:12:22.721656,0.79300,Ready
2020-11-13 13:27:22.712592,0.79300,Ready
2020-11-13 13:42:22.718539,0.79300,Ready
2020-11-13 13:57:22.712476,0.79200,Ready
2020-11-13 14:12:22.720425,0.79300,Ready
2020-11-13 14:27:22.731375,0.82700,Ready
2020-11-13 16:27:22.788954,0.79200,Ready
2020-11-13 16:42:23.063091,0.79300,Ready
2020-11-13 16:57:22.943949,0.80600,Ready
2020-11-13 17:12:22.962904,0.79300,Ready
2020-11-13 17:27:23.163990,0.79300,Ready
2020-11-13 17:42:22.733626,0.79300,Ready
2020-11-13 17:57:22.727564,0.79300,Ready
2020-11-13 18:12:23.211919,0.79500,Ready
2020-11-13 18:27:23.040739,0.79300,Ready
2020-11-13 18:42:22.987644,0.79300,Ready
2020-11-13 18:57:23.093662,0.79300,Ready
2020-11-13 19:12:22.736350,0.96900,Regen
2020-11-13 19:27:22.740295,2.47400,Regen
2020-11-13 19:42:22.733232,3.15900,Regen
2020-11-13 19:57:22.758192,3.39900,Regen
2020-11-13 20:12:22.747127,3.22200,Regen
2020-11-13 20:27:22.740064,3.48000,Regen
2020-11-13 20:42:22.778033,3.70300,Regen
2020-11-13 20:57:22.737947,3.89000,Regen
2020-11-13 21:12:22.750899,4.03100,Regen
2020-11-13 21:27:22.737832,4.15000,Regen
2020-11-13 21:42:23.139060,4.25300,Regen
2020-11-13 21:57:23.037929,4.34400,Regen
2020-11-13 22:12:23.022862,4.43300,Regen
2020-11-13 22:27:23.064833,4.51300,Regen
2020-11-13 22:42:22.747550,4.58300,Regen
2020-11-13 22:57:22.755498,4.64200,Regen
2020-11-13 23:12:22.745433,4.59600,Regen
2020-11-13 23:27:22.755382,4.59600,Regen
2020-11-13 23:42:22.761329,4.59600,Regen
2020-11-13 23:57:22.811307,4.52000,Regen
2020-11-14 00:12:22.759212,4.38500,Regen
2020-11-14 00:27:22.767160,4.25900,Regen
2020-11-14 00:42:22.761098,4.14400,Regen
2020-11-14 00:57:22.771047,4.04600,Regen
2020-11-14 01:12:22.760982,3.95200,Regen
2020-11-14 01:27:22.768930,3.86700,Regen
2020-11-14 01:42:22.757865,3.79000,Regen
2020-11-14 01:57:22.767814,3.72400,Regen
2020-11-14 02:12:22.774761,3.66900,Regen
2020-11-14 02:27:22.768699,3.62800,Regen
2020-11-14 02:42:22.758635,3.59200,Regen
2020-11-14 02:57:22.769584,3.56400,Regen
2020-11-14 03:12:22.760520,3.54500,Regen
2020-11-14 03:27:22.782478,3.52900,Regen
2020-11-14 03:42:22.776416,3.51400,Regen
2020-11-14 03:57:22.767695,3.49800,Regen
2020-11-14 04:12:22.776643,3.23200,Regen
2020-11-14 04:27:22.782590,2.77600,Regen
2020-11-14 04:42:22.771524,2.35000,Regen
2020-11-14 04:57:22.784476,2.02700,Regen
